Class,Confidence,Bounding Box,Camera XYZ,Simulation XYZ
5ML_sorting_tube_rack,"tensor(0.87088, device='cuda:0')","[572, 267, 646, 389]","[-0.08693025261163712, -0.0800623968243599, 1.4079999923706055]","[632.2492788114224, -50.77403898395086, 97.79607507000317]"
centrifuge_close,"tensor(0.85020, device='cuda:0')","[839, 25, 1007, 185]","[0.677284836769104, -0.6396197080612183, 1.5750000476837158]","[-110.75155207235898, -640.0914491980684, 258.0236045240713]"
10ML_centrifuge_tube,"tensor(0.80568, device='cuda:0')","[754, 560, 772, 577]","[0.2183816283941269, 0.3882313072681427, 1.2170000076293945]","[309.1373683829719, 436.5965665483933, 13.74895525373515]"
refrigerator_close,"tensor(0.76841, device='cuda:0')","[646, 0, 793, 168]","[0.1661314070224762, -0.6598114967346191, 1.503000020980835]","[399.8447574295911, -601.2176208597165, 326.21286401628686]"
10ML_centrifuge_tube,"tensor(0.72114, device='cuda:0')","[845, 484, 864, 501]","[0.36606818437576294, 0.22737900912761688, 1.1369999647140503]","[165.8935776786079, 337.52015435356384, 167.85887859583244]"
blood_tube,"tensor(0.52037, device='cuda:0')","[831, 528, 849, 547]","[0.3270370662212372, 0.2947981655597687, 1.090000033378601]","[202.06421343003282, 420.9141489940537, 171.71778403547816]"
10ML_sorting_tube_rack,"tensor(0.44172, device='cuda:0')","[252, 407, 379, 578]","[-0.663690984249115, 0.2541765570640564, 1.2710000276565552]","[1195.7935052383712, 325.17201607460066, 32.83394199359457]"
blood_tube,"tensor(0.42355, device='cuda:0')","[736, 518, 751, 535]","[0.181891530752182, 0.3109661042690277, 1.2280000448226929]","[348.3151415453462, 366.5674513502798, 45.10919685474918]"
10ML_sorting_tube_rack,"tensor(0.35724, device='cuda:0')","[303, 247, 402, 411]","[-0.6499270796775818, -0.07741492241621017, 1.399999976158142]","[1194.700670893707, -24.644302614647174, 99.24696735892591]"
5ML_sorting_tube_rack,"tensor(0.29212, device='cuda:0')","[332, 0, 554, 174]","[-0.5366231203079224, -0.7244089841842651, 1.6679999828338623]","[1106.3799773524381, -718.8499903748306, 215.6128769886506]"
dispensing_tube_rack,"tensor(0.27313, device='cuda:0')","[702, 500, 844, 618]","[0.24563568830490112, 0.38388386368751526, 1.2589999437332153]","[282.573553618738, 409.70970754489986, -19.374136964980774]"
