Image Path,Class,Confidence,Bounding Box,Center Coordinates (2D)
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,sorting_tube_rack_base,0.98296058177948,"[832.0, 1653.0, 1376.0, 1983.0]","[1104, 1818]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,10ML_sorting_tube_rack,0.9593733549118042,"[973.0, 1217.0, 1435.0, 1550.0]","[1204, 1383]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,sorting_tube_rack_base,0.9562945365905762,"[1011.0, 1360.0, 1453.0, 1596.0]","[1232, 1478]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,centrifuge_close,0.9537262320518494,"[791.0, 527.0, 1293.0, 915.0]","[1042, 721]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,5ML_sorting_tube_rack,0.9519814252853394,"[0.0, 717.0, 339.0, 1124.0]","[169, 920]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,dispensing_tube_rack,0.9386380314826965,"[2053.0, 1235.0, 3378.0, 1884.0]","[2715, 1559]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,refrigerator_close,0.9090167284011841,"[2285.0, 270.0, 2906.0, 1042.0]","[2595, 656]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,5ML_sorting_tube_rack,0.8883212804794312,"[0.0, 1139.0, 550.0, 1524.0]","[275, 1331]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,10ML_centrifuge_tube,0.8875812888145447,"[222.0, 1143.0, 308.0, 1196.0]","[265, 1169]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,tube_rack_storage_cabinet,0.8735836744308472,"[0.0, 433.0, 699.0, 2138.0]","[349, 1285]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,blood_tube,0.8609591126441956,"[1140.0, 1210.0, 1205.0, 1270.0]","[1172, 1240]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,10ML_centrifuge_tube,0.8491770029067993,"[2734.0, 1242.0, 2800.0, 1296.0]","[2767, 1269]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,blood_tube,0.7382387518882751,"[1090.0, 1290.0, 1160.0, 1361.0]","[1125, 1325]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,blood_tube,0.686401903629303,"[1051.0, 1209.0, 1118.0, 1272.0]","[1084, 1240]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,blood_tube,0.6623840928077698,"[1010.0, 1294.0, 1074.0, 1363.0]","[1042, 1328]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,5ML_centrifuge_tube,0.5209309458732605,"[2239.0, 1334.0, 2314.0, 1407.0]","[2276, 1370]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,blood_tube,0.4817064702510834,"[1026.0, 1250.0, 1103.0, 1309.0]","[1064, 1279]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,5ML_centrifuge_tube,0.4365101754665375,"[2298.0, 1281.0, 2377.0, 1351.0]","[2337, 1316]"
E:/ABB/AI/yolov9/data/dataset/images\00000.jpg,10ML_centrifuge_tube,0.3736180067062378,"[2238.0, 1334.0, 2314.0, 1412.0]","[2276, 1373]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,sorting_tube_rack_base,0.9685369729995728,"[591.0, 1564.0, 1123.0, 1951.0]","[857, 1757]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,centrifuge_close,0.9613562226295471,"[207.0, 525.0, 837.0, 939.0]","[522, 732]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,10ML_sorting_tube_rack,0.9577714800834656,"[631.0, 1157.0, 1120.0, 1526.0]","[875, 1341]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,refrigerator_close,0.9451841711997986,"[1872.0, 181.0, 2319.0, 859.0]","[2095, 520]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,dispensing_tube_rack,0.9101475477218628,"[1725.0, 921.0, 2727.0, 1855.0]","[2226, 1388]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,sorting_tube_rack_base,0.8825920224189758,"[700.0, 1296.0, 1133.0, 1575.0]","[916, 1435]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,tube_rack_storage_cabinet,0.8380001783370972,"[0.0, 922.0, 274.0, 2138.0]","[137, 1530]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,5ML_sorting_tube_rack,0.8170279264450073,"[0.0, 1224.0, 91.0, 1642.0]","[45, 1433]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,blood_tube,0.8095110654830933,"[746.0, 1246.0, 830.0, 1324.0]","[788, 1285]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,blood_tube,0.7864399552345276,"[781.0, 1169.0, 854.0, 1240.0]","[817, 1204]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,10ML_centrifuge_tube,0.6944954991340637,"[2277.0, 989.0, 2326.0, 1034.0]","[2301, 1011]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,blood_tube,0.6692097187042236,"[651.0, 1276.0, 727.0, 1340.0]","[689, 1308]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,blood_tube,0.6638232469558716,"[682.0, 1188.0, 760.0, 1239.0]","[721, 1213]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,10ML_centrifuge_tube,0.5271230340003967,"[1885.0, 1081.0, 1951.0, 1142.0]","[1918, 1111]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,blood_tube,0.40194591879844666,"[681.0, 1197.0, 758.0, 1282.0]","[719, 1239]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,10ML_centrifuge_tube,0.3955543339252472,"[1780.0, 1076.0, 1819.0, 1125.0]","[1799, 1100]"
E:/ABB/AI/yolov9/data/dataset/images\00001.jpg,5ML_centrifuge_tube,0.28046199679374695,"[1927.0, 1030.0, 1991.0, 1086.0]","[1959, 1058]"
E:/ABB/AI/yolov9/data/dataset/images\00002.jpg,sorting_tube_rack_base,0.9793829321861267,"[5.0, 1506.0, 619.0, 2103.0]","[312, 1804]"
E:/ABB/AI/yolov9/data/dataset/images\00002.jpg,sorting_tube_rack_base,0.9652230739593506,"[36.0, 1031.0, 699.0, 1481.0]","[367, 1256]"
E:/ABB/AI/yolov9/data/dataset/images\00002.jpg,10ML_sorting_tube_rack,0.9514369964599609,"[4.0, 852.0, 631.0, 1425.0]","[317, 1138]"
E:/ABB/AI/yolov9/data/dataset/images\00002.jpg,dispensing_tube_rack,0.9071770310401917,"[1356.0, 311.0, 3432.0, 2070.0]","[2394, 1190]"
E:/ABB/AI/yolov9/data/dataset/images\00002.jpg,refrigerator_close,0.9070387482643127,"[1842.0, 0.0, 2485.0, 155.0]","[2163, 77]"
E:/ABB/AI/yolov9/data/dataset/images\00002.jpg,10ML_centrifuge_tube,0.9003888964653015,"[2428.0, 442.0, 2515.0, 528.0]","[2471, 485]"
E:/ABB/AI/yolov9/data/dataset/images\00002.jpg,5ML_centrifuge_tube,0.874622106552124,"[1556.0, 755.0, 1688.0, 883.0]","[1622, 819]"
E:/ABB/AI/yolov9/data/dataset/images\00002.jpg,centrifuge_close,0.8611812591552734,"[4.0, 0.0, 398.0, 445.0]","[201, 222]"
E:/ABB/AI/yolov9/data/dataset/images\00002.jpg,10ML_centrifuge_tube,0.8209613561630249,"[1840.0, 586.0, 1921.0, 629.0]","[1880, 607]"
E:/ABB/AI/yolov9/data/dataset/images\00002.jpg,blood_tube,0.7968316674232483,"[1.0, 912.0, 85.0, 1016.0]","[43, 964]"
E:/ABB/AI/yolov9/data/dataset/images\00002.jpg,5ML_centrifuge_tube,0.7799506783485413,"[1442.0, 888.0, 1582.0, 1024.0]","[1512, 956]"
E:/ABB/AI/yolov9/data/dataset/images\00002.jpg,10ML_centrifuge_tube,0.7594385743141174,"[1540.0, 660.0, 1621.0, 699.0]","[1580, 679]"
E:/ABB/AI/yolov9/data/dataset/images\00002.jpg,dispensing_tube_rack,0.5708213448524475,"[1.0, 491.0, 119.0, 919.0]","[60, 705]"
