Class,Confidence,Bounding Box,Center 3D Coordinates,Corner 1 Coordinates,Corner 2 Coordinates,Corner 3 Coordinates,Corner 4 Coordinates
5ML_centrifuge_tube,0.6243939399719238,"[450.0, 219.0, 473.0, 238.0]","[402.0, -39.0, 1785.0]","[406.0, -71.0, 1957.0]","[433.0, -64.0, 1765.0]","[367.0, -9.0, 1770.0]","[427.0, -9.0, 1740.0]"
5ML_centrifuge_tube,0.5188023447990417,"[17.0, 407.0, 49.0, 441.0]","[-0.0, 0.0, 0.0]",,,,
10ML_centrifuge_tube,0.5132360458374023,"[436.0, 237.0, 472.0, 258.0]","[378.0, 17.0, 1770.0]","[330.0, -12.0, 1791.0]","[425.0, -12.0, 1745.0]","[324.0, 49.0, 1760.0]","[425.0, 48.0, 1745.0]"
10ML_centrifuge_tube,0.4427056610584259,"[296.0, 151.0, 369.0, 198.0]","[0.0, -0.0, 0.0]",,"[327.0, -659.0, 4438.0]",,
5ML_sorting_tube_rack,0.3491957485675812,"[408.0, 386.0, 640.0, 479.0]","[0.0, 0.0, 0.0]","[303.0, 524.0, 2195.0]",,,
5ML_centrifuge_tube,0.3092842102050781,"[315.0, 189.0, 329.0, 201.0]","[-0.0, -0.0, 0.0]",,,,
5ML_sorting_tube_rack,0.29438820481300354,"[234.0, 183.0, 472.0, 314.0]","[0.0, 0.0, 0.0]",,"[738.0, -291.0, 3032.0]",,"[400.0, 197.0, 1642.0]"
5ML_centrifuge_tube,0.28256356716156006,"[301.0, 151.0, 369.0, 199.0]","[0.0, -0.0, 0.0]",,"[327.0, -659.0, 4438.0]",,
5ML_centrifuge_tube,0.27789363265037537,"[306.0, 119.0, 333.0, 139.0]","[-43.0, -906.0, 4899.0]","[-156.0, -1045.0, 5190.0]","[75.0, -1045.0, 5190.0]","[-149.0, -832.0, 4939.0]","[70.0, -818.0, 4860.0]"
10ML_centrifuge_tube,0.6384105086326599,"[299.0, 151.0, 369.0, 199.0]","[8.0, -53.0, 486.0]","[-20.0, -73.0, 490.0]","[307.0, -619.0, 4166.0]","[-19.0, -31.0, 453.0]","[211.0, -199.0, 2862.0]"
5ML_centrifuge_tube,0.5776103138923645,"[300.0, 151.0, 369.0, 200.0]","[8.0, -53.0, 486.0]","[-20.0, -73.0, 490.0]","[307.0, -619.0, 4166.0]","[-18.0, -31.0, 452.0]","[208.0, -191.0, 2822.0]"
5ML_centrifuge_tube,0.5460696816444397,"[450.0, 219.0, 473.0, 240.0]","[426.0, -38.0, 1890.0]","[411.0, -72.0, 1982.0]","[450.0, -67.0, 1834.0]","[374.0, -3.0, 1807.0]","[430.0, -3.0, 1755.0]"
5ML_centrifuge_tube,0.5381641387939453,"[17.0, 409.0, 50.0, 440.0]","[-0.0, 0.0, 0.0]",,,"[-257.0, 166.0, 507.0]",
10ML_centrifuge_tube,0.5190975666046143,"[436.0, 237.0, 472.0, 258.0]","[390.0, 18.0, 1823.0]","[330.0, -12.0, 1791.0]","[431.0, -12.0, 1770.0]","[323.0, 49.0, 1755.0]","[426.0, 49.0, 1750.0]"
5ML_sorting_tube_rack,0.41057759523391724,"[598.0, 202.0, 640.0, 393.0]","[791.0, 150.0, 1629.0]","[1749.0, -250.0, 3876.0]","[1499.0, -186.0, 2889.0]",,
5ML_centrifuge_tube,0.3556359112262726,"[427.0, 219.0, 449.0, 241.0]","[333.0, -33.0, 1775.0]","[321.0, -69.0, 1896.0]","[407.0, -72.0, 1982.0]","[299.0, -0.0, 1765.0]","[372.0, -0.0, 1807.0]"
dispensing_tube_rack,0.2919337749481201,"[114.0, 71.0, 367.0, 479.0]","[-43.0, 17.0, 310.0]","[-106.0, -86.0, 307.0]","[365.0, -1456.0, 5190.0]",,"[49.0, 274.0, 698.0]"
10ML_centrifuge_tube,0.503998875617981,"[302.0, 151.0, 369.0, 199.0]","[9.0, -53.0, 486.0]","[-18.0, -73.0, 491.0]","[303.0, -611.0, 4110.0]","[-17.0, -31.0, 453.0]","[210.0, -198.0, 2848.0]"
5ML_centrifuge_tube,0.4866965413093567,"[304.0, 151.0, 369.0, 200.0]","[9.0, -53.0, 488.0]","[-16.0, -73.0, 493.0]","[303.0, -611.0, 4110.0]","[-15.0, -31.0, 451.0]","[209.0, -192.0, 2835.0]"
10ML_centrifuge_tube,0.45207616686820984,"[436.0, 237.0, 472.0, 258.0]","[396.0, 18.0, 1850.0]","[331.0, -12.0, 1796.0]","[430.0, -12.0, 1765.0]","[322.0, 49.0, 1750.0]","[429.0, 49.0, 1760.0]"
5ML_centrifuge_tube,0.4386475384235382,"[17.0, 409.0, 51.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-258.0, 168.0, 509.0]",
5ML_centrifuge_tube,0.427969753742218,"[450.0, 219.0, 473.0, 239.0]","[426.0, -38.0, 1890.0]","[415.0, -73.0, 2001.0]","[450.0, -67.0, 1834.0]","[376.0, -6.0, 1812.0]","[429.0, -6.0, 1750.0]"
5ML_sorting_tube_rack,0.4077438414096832,"[598.0, 202.0, 640.0, 393.0]","[798.0, 151.0, 1642.0]","[1760.0, -252.0, 3901.0]","[1520.0, -189.0, 2930.0]",,
5ML_centrifuge_tube,0.3008352518081665,"[426.0, 219.0, 449.0, 241.0]","[333.0, -33.0, 1791.0]","[314.0, -68.0, 1873.0]","[411.0, -73.0, 2001.0]","[296.0, -0.0, 1765.0]","[374.0, -0.0, 1817.0]"
5ML_sorting_tube_rack,0.26216942071914673,"[468.0, 285.0, 633.0, 391.0]","[598.0, 257.0, 1607.0]","[398.0, 121.0, 1678.0]","[851.0, 121.0, 1673.0]","[445.0, 464.0, 1879.0]",
dispensing_tube_rack,0.26093146204948425,"[105.0, 76.0, 367.0, 478.0]","[-45.0, 18.0, 310.0]","[-108.0, -82.0, 300.0]","[378.0, -1462.0, 5372.0]","[-106.0, 114.0, 292.0]","[49.0, 272.0, 697.0]"
10ML_centrifuge_tube,0.2558215856552124,"[17.0, 409.0, 51.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-258.0, 168.0, 509.0]",
5ML_centrifuge_tube,0.38942858576774597,"[17.0, 409.0, 52.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-258.0, 168.0, 509.0]",
10ML_centrifuge_tube,0.3678852617740631,"[302.0, 151.0, 369.0, 199.0]","[9.0, -53.0, 488.0]","[-18.0, -73.0, 491.0]","[299.0, -603.0, 4056.0]","[-17.0, -31.0, 452.0]","[212.0, -200.0, 2875.0]"
5ML_sorting_tube_rack,0.3550320565700531,"[598.0, 203.0, 640.0, 394.0]","[800.0, 154.0, 1646.0]","[1771.0, -247.0, 3926.0]","[1542.0, -187.0, 2973.0]",,
10ML_centrifuge_tube,0.34355783462524414,"[436.0, 237.0, 472.0, 258.0]","[389.0, 18.0, 1817.0]","[330.0, -12.0, 1791.0]","[432.0, -12.0, 1775.0]","[324.0, 49.0, 1760.0]","[429.0, 49.0, 1760.0]"
5ML_sorting_tube_rack,0.31777018308639526,"[468.0, 272.0, 632.0, 391.0]","[596.0, 237.0, 1603.0]","[411.0, 88.0, 1735.0]","[880.0, 88.0, 1735.0]","[441.0, 460.0, 1861.0]",
dispensing_tube_rack,0.2774116098880768,"[127.0, 70.0, 367.0, 478.0]","[-39.0, 16.0, 304.0]","[-156.0, -135.0, 480.0]","[356.0, -1428.0, 5061.0]","[-91.0, 109.0, 279.0]","[49.0, 271.0, 694.0]"
5ML_centrifuge_tube,0.2640511691570282,"[450.0, 219.0, 473.0, 240.0]","[425.0, -38.0, 1884.0]","[413.0, -73.0, 1995.0]","[448.0, -67.0, 1828.0]","[374.0, -3.0, 1807.0]","[431.0, -3.0, 1760.0]"
10ML_centrifuge_tube,0.41711798310279846,"[300.0, 151.0, 369.0, 200.0]","[8.0, -53.0, 486.0]","[-20.0, -73.0, 490.0]","[334.0, -674.0, 4536.0]","[-18.0, -31.0, 451.0]","[208.0, -191.0, 2822.0]"
10ML_centrifuge_tube,0.37928879261016846,"[436.0, 237.0, 472.0, 258.0]","[390.0, 18.0, 1823.0]","[327.0, -12.0, 1775.0]","[431.0, -12.0, 1770.0]","[324.0, 49.0, 1760.0]","[427.0, 49.0, 1755.0]"
5ML_sorting_tube_rack,0.33867526054382324,"[598.0, 203.0, 640.0, 394.0]","[802.0, 155.0, 1651.0]","[1738.0, -242.0, 3852.0]","[1550.0, -188.0, 2987.0]",,
dispensing_tube_rack,0.31324535608291626,"[137.0, 74.0, 367.0, 478.0]","[-35.0, 17.0, 297.0]","[-151.0, -135.0, 490.0]","[329.0, -1288.0, 4675.0]","[-85.0, 107.0, 275.0]","[49.0, 271.0, 695.0]"
5ML_centrifuge_tube,0.277758926153183,"[300.0, 151.0, 369.0, 201.0]","[8.0, -52.0, 484.0]","[-20.0, -73.0, 490.0]","[334.0, -674.0, 4536.0]","[-18.0, -30.0, 451.0]","[206.0, -185.0, 2796.0]"
5ML_centrifuge_tube,0.26685142517089844,"[17.0, 409.0, 53.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-257.0, 167.0, 508.0]",
10ML_centrifuge_tube,0.25911739468574524,"[16.0, 409.0, 53.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-258.0, 167.0, 508.0]",
10ML_centrifuge_tube,0.3718079626560211,"[16.0, 409.0, 53.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-259.0, 168.0, 509.0]",
10ML_centrifuge_tube,0.34969931840896606,"[303.0, 151.0, 369.0, 200.0]","[9.0, -53.0, 488.0]","[-17.0, -73.0, 491.0]","[314.0, -632.0, 4253.0]","[-16.0, -31.0, 451.0]","[206.0, -190.0, 2796.0]"
5ML_sorting_tube_rack,0.3253726363182068,"[0.0, 402.0, 220.0, 479.0]","[-97.0, 90.0, 275.0]",,"[-49.0, 75.0, 283.0]","[-264.0, 194.0, 494.0]","[-48.0, 110.0, 280.0]"
5ML_sorting_tube_rack,0.3143889009952545,"[598.0, 203.0, 640.0, 394.0]","[795.0, 153.0, 1637.0]","[1760.0, -245.0, 3901.0]","[1492.0, -181.0, 2875.0]",,
10ML_centrifuge_tube,0.29918354749679565,"[49.0, 445.0, 86.0, 480.0]","[-0.0, 0.0, 0.0]",,"[-108.0, 92.0, 274.0]",,"[-114.0, 114.0, 290.0]"
5ML_centrifuge_tube,0.28243309259414673,"[17.0, 409.0, 52.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-258.0, 168.0, 509.0]",
5ML_sorting_tube_rack,0.34550273418426514,"[598.0, 204.0, 640.0, 394.0]","[798.0, 157.0, 1642.0]","[1783.0, -242.0, 3951.0]","[1605.0, -189.0, 3093.0]",,
10ML_centrifuge_tube,0.3372875154018402,"[16.0, 409.0, 52.0, 441.0]","[-0.0, 0.0, 0.0]",,,"[-260.0, 168.0, 511.0]",
